id,company_name,contact_person,phone,email,address,city,region,type,score,potential_value_min,potential_value_max,status,priority,source,notes,next_action,tier,category
1,Procam Construction,,,reception@procamconstruction.com,,Boucherville,Quebec,contractor,80,,,new,A,agent-scrape-2026-03-25,,email,,
2,JG Lessard & Fils,,,info@jglessard.com,,Montreal,Quebec,contractor,80,,,new,A,agent-scrape-2026-03-25,,email,,
3,Pomerleau,,,communications@pomerleau.ca,,Montreal,Quebec,contractor,80,,,new,A,agent-scrape-2026-03-25,,email,,
4,Association des Propriétaires du Québec,,,info@apq.org,,Montreal,Quebec,property_manager,80,,,new,A,agent-scrape-2026-03-25,,email,,
5,Éconofitness,,,info@econofitness.ca,,Montreal,Quebec,gym,80,,,new,A,agent-scrape-2026-03-25,,email,,
6,Saison Restaurant,,,info@saisonsaison.com,,Quebec City,Quebec,restaurant,80,,,new,A,agent-scrape-2026-03-25,,email,,
7,La Barberie,,,dirventes@labarberie.com,,Quebec City,Quebec,restaurant,80,,,new,A,agent-scrape-2026-03-25,,email,,
8,BOMA Quebec,,,admin@bfrmaison.com,,Montreal,Quebec,property_manager,80,,,new,A,agent-scrape-2026-03-25,,email,,
9,Prével,,,info@prevel.ca,,Montreal,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
10,Groupe Quorum,,,info@quorumcanada.com,,Montreal,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
11,Samcon,,,info@samcon.ca,,Montreal,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
12,Cordon Bleu Foods,Patricia St Aubin,,info@cordonbleu.ca,,Anjou,Quebec,food_processing,80,,,new,A,agent-scrape-2026-03-25,,email,,
13,Olymel Trois-Rivières,,,media@olymel.com,,Trois-Rivières,Quebec,food_processing,80,,,new,A,agent-scrape-2026-03-25,,email,,
14,Rosefellow RF Industriel,,,info@rosefellow.com,,Laval,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
15,Montpak International,,,info@montpak.ca,,Laval,Quebec,food_processing,80,,,new,A,agent-scrape-2026-03-25,,email,,
16,Alimentation Dynamic,,,info@tgvd.ca,,Terrebonne,Quebec,food_processing,80,,,new,A,agent-scrape-2026-03-25,,email,,
17,Lobeva Microbrasserie,,,info@lobeva.com,,Pointe-aux-Trembles,Quebec,restaurant,80,,,new,A,agent-scrape-2026-03-25,,email,,
18,Roccabella,,,info@roccabella.ca,,Montreal,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
19,YUL Condos,,,info@yulcentreville.com,,Montreal,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
20,District Griffin,,,info@districtgriffin.com,,Montreal,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
21,Ristorante Beatrice,,,info@ristorantebeatrice.com,,Montreal,Quebec,restaurant,80,,,new,A,agent-scrape-2026-03-25,,email,,
22,Ivanhoe Cambridge,,,media@ivanhoecambridge.com,,Montreal,Quebec,property_manager,80,,,new,A,agent-scrape-2026-03-25,,email,,
23,Audi Gabriel,,,contact@audigabriel.com,,Montreal,Quebec,contractor,80,,,new,A,agent-scrape-2026-03-25,,email,,
24,Carbonleo RoyalMount,,,contact@royalmount.com,,Montreal,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
25,Cascades Cabano,,,cabano@cascades.com,,Cabano,Quebec,food_processing,80,,,new,A,agent-scrape-2026-03-25,,email,,
26,Devimco Immobilier,,,info@eoliaappartements.com,,Brossard,Quebec,developer,80,,,new,A,agent-scrape-2026-03-25,,email,,
27,BGIS,Jaouad Grofti,,jaouad.grofti@bgis.com,,Montreal,Quebec,property_manager,80,,,new,A,agent-scrape-2026-03-25,,email,,
28,Gabriel BMW MINI,,,info@gabrielbmwmoto.ca,,Montreal,Quebec,contractor,80,,,new,A,agent-scrape-2026-03-25,,email,,
